Soalan,Jawapan Dari Model,Jawapan Sebenarnya,Cosine_Similarity,BERTScore_F1,Semantic_Similarity,Jaccard_Similarity
What is inflation and how does it affect purchasing power?,"??Inflation is when the prices of goods and services increase over time. This means that the value of money decreases, and the same amount of currency can't buy as much as it could before. To understand how inflation affects purchasing power, imagine your savings. Say you had RM10 back in the early 2000s, which could buy a bunch of vegetables. But now, the same amount might only cover the cost of two types of vegetables. That's because prices have increased over time due to inflation. This means that the value of your money has decreased.","Inflation is the general increase in the prices of goods and services across an economy over time. When inflation happens, things like food, transport, housing costs and other everyday items become more expensive than they were before. It is usually measured by looking at how the price of a representative set of common goods and services changes over a specific period, such as one year. Inflation affects purchasing power, which is the amount of goods and services that a unit of money can buy at a given time. As prices rise due to inflation, the same amount of money buys fewer goods and services than before. This means that if your income does not increase at the same rate as inflation, you lose purchasing power because your money does not stretch as far as it used to.",0.613559195,0.7534645,0.847832203,0.285714286
What is EPF (Employees Provident Fund) and how does it help Malaysians save for retirement?,"EPF stands for Employees Provident Fund, which is a retirement savings program in Malaysia. It provides a reliable avenue for individuals to save for their future financial security. The EPF offers Malaysians a solid foundation for long-term financial planning, boasting compelling dividend rates and a range of benefits. The EPF allows members to contribute voluntarily on top of their existing mandatory monthly deductions, with a maximum limit of RM100,000 per year. This flexibility enables individuals to align their investments with personal values and financial objectives while upholding ethical and religious principles through the Shariah-compliant option, Simpanan Shariah.","The Employees Provident Fund (EPF), known in Malay as Kumpulan Wang Simpanan Pekerja (KWSP), is Malaysia?€?s main retirement savings scheme managed by a government body under the Ministry of Finance. It was established to help workers build long-term savings for when they stop working, and it requires regular contributions from both employees and employers while the person is working. Under this system, a portion of your salary is automatically set aside each month along with a matching contribution from your employer. These contributions are credited into your EPF account and are invested by the fund so your savings can grow over time through annual dividends. The goal of this compulsory savings plan is to ensure that Malaysians can accumulate enough money to support themselves financially once they retire and are no longer earning a regular income.",0.288637787,0.7318978,0.862081766,0.137254902
What tax reliefs and deductions are available for Malaysian taxpayers?,"As a Malaysian taxpayer, you are eligible for various tax reliefs and deductions to reduce your taxable income. Two notable tax reliefs are available through the Employees Provident Fund (EPF): EPF Contributions and Life Insurance Premiums. For Private Sector Employees & Non-Pensionable Public Servants, the tax relief limit is up to RM4,000 for EPF contributions and RM3,000 for life insurance premiums or both. This totals a maximum of RM7,000 in tax relief. For Pensionable Public Servants, the tax relief has been expanded to include retirement savings with the EPF, allowing them to benefit from this tax relief as well.","In Malaysia, individual taxpayers can reduce the amount of tax they owe by claiming various tax reliefs and deductions against their chargeable income before calculating tax. These reliefs include a standard personal relief (for yourself and dependants), which is usually around RM9,000, and additional reliefs for things like education fees, medical and healthcare expenses, retirement savings such as life insurance and EPF contributions, interest on housing loans for first-time homebuyers, and other eligible personal outlays. There are also reliefs for parents?€? medical costs, childcare fees, disability support, and savings in approved education schemes like SSPN. These tax reliefs serve to lower the taxable income amount, so you pay less income tax overall, and you can only claim them if you meet the eligibility criteria and provide supporting documentation when necessary.",0.435478203,0.73271626,0.85519278,0.185714286
What is the difference between conventional banking and Islamic banking in Malaysia?,"Conventional banking in Malaysia is based on interest-based lending, where banks charge interest on loans to borrowers. This type of banking has been widely adopted globally, but its practices have raised concerns among Muslims who follow the Islamic faith. In contrast, Islamic banking in Malaysia adheres to Shariah principles, which prohibit the charging and payment of interest (riba). Instead, Islamic banks use alternative methods to earn profits, such as profit-sharing schemes or risk-based pricing. This approach aims to create a more equitable and transparent financial system that aligns with Islamic values.","Conventional banks operate on the mainstream financial system where the bank accepts deposits and lends money while charging and paying interest (known as interest-based lending). They make profit mainly through interest charged on loans and by paying a smaller interest to depositors. In this system, the relationship between the bank and the customer is largely that of creditor and debtor, and the bank transfers most of the repayment risk to the borrower. Conventional banks can invest in a wide range of sectors based on commercial considerations, without religious constraints. Islamic banking, on the other hand, must follow Shariah law, which prohibits riba (interest) and requires that financial transactions be based on real economic activity such as trade, leasing, profit-sharing or partnership. Instead of charging interest, Islamic banks earn returns through profit and loss sharing, trade transactions or asset leases, and financial products are structured around contracts like Murabaha (cost-plus sale), Mudarabah (profit sharing), Musharakah (joint partnership) and Ijarah (leasing). Islamic banking also avoids investments in activities considered unethical under Shariah, such as alcohol, gambling, and speculative transactions. The relationship between the bank and the customer is therefore more like partners, buyers and sellers, with risks and rewards shared. Islamic banks have Shariah supervisory boards to ensure all products comply with Islamic law.",0.478694723,0.7437351,0.710286617,0.181318681
What is the difference between needs and wants?,"Needs refer to essential items that are necessary for survival, well-being, or long-term goals. These can include basic necessities like food, shelter, clothing, healthcare, education, and personal safety. Needs are typically non-discretionary, meaning they cannot be easily substituted with alternative options. Examples of needs include rent/mortgage, utilities, groceries, transportation, and tuition fees. Wants, on the other hand, are discretionary items that bring pleasure or satisfaction but are not essential for survival. These can include luxuries like dining out, entertainment, hobbies, travel, or clothing. Wants are typically non-essential and can be substituted with alternative options if necessary. The key difference between needs and wants is that needs should take priority over wants in terms of spending decisions.","Needs are the things you must have to survive and function in daily life, such as food, basic clothing, housing or shelter, essential healthcare and utilities. These are expenditures that are essential for your safety, health and ability to work, and without them your well-being would be at risk. Wants, on the other hand, are things you desire but do not absolutely need to live. They are non-essential items that make life more comfortable, fun or enjoyable, such as eating out, brand-name clothes, travelling, entertainment or luxury gadgets. Wants enhance your quality of life but you could still get by without them if you had to. Understanding the difference helps you prioritise spending ?€? meeting your needs first before spending on wants ?€? which is an important part of budgeting and managing your money responsibly.",0.383168116,0.74120575,0.88635397,0.214765101
What is Amanah Saham Bumiputera (ASB) and who can invest in it?,"Amanah Saham Bumiputera (ASB) is a type of investment product offered by the Malaysian government. It was introduced in 1994 as part of the government's economic stimulus plan to encourage Malaysians to invest in the stock market. ASB allows individuals, including Malaysian citizens and permanent residents, to invest in the stock market through a unit-linked savings scheme. To be eligible to invest in ASB, you must be a Malaysian citizen or a permanent resident of Malaysia. You can also apply for ASB if you are a foreign national who has been living in Malaysia for more than 3 years. The minimum investment amount for ASB is RM 1,000, and the maximum limit varies depending on your age and income.","Amanah Saham Bumiputera (often called ASB) is a unit trust investment fund in Malaysia that was launched by Amanah Saham Nasional Berhad (ASNB), a major unit trust management company wholly owned by Permodalan Nasional Berhad (PNB). ASB is designed to serve as a long-term, relatively low-risk investment vehicle that aims to generate consistent returns over time for its investors. It is structured so each unit typically has a fixed price, and returns are usually distributed to investors in the form of dividends based on the fund?€?s performance. ASB was originally created primarily for Malaysian Bumiputera investors, meaning eligible Malays, Indigenous people of Sabah and Sarawak (as defined under the Federal Constitution), and Orang Asli. This eligibility allows them to open and hold ASB accounts, invest in the fund, and receive dividends on their holdings. Typically, only Bumiputera individuals and eligible minors with a Malaysian guardian can invest directly in ASB. Accounts can be opened for adults aged 18 and above with a valid identity card, and for minors (younger than 18) via a registered guardian who is also a Malaysian and meets the age requirement.",0.482130396,0.7317311,0.831042051,0.173184358
"What is the difference between SOCSO, EIS, and EPF contributions for Malaysian employees?","SOCSO (Social Security Organisation) contributes to the Employees' Provident Fund (EPF), but it is not the same as contributing directly to EPF. SOCSO's contribution is a mandatory requirement for all employees in Malaysia, which includes 12% of their monthly salary, deducted by their employer. This contribution is then deposited into the employee's EPF account. EIS (Employee Investment Scheme) and EPF contributions are two separate types of savings plans offered to Malaysian employees. EIS allows employees to invest a portion of their EPF savings in various investment products, such as stocks or bonds, while EPF contributions are mandatory for all employees, with the employer contributing 12% and the employee contributing 8%. The difference lies in the investment options available under EIS, which provides more flexibility and potential returns compared to EPF's fixed dividend rate.","EPF (Employees Provident Fund) is a mandatory retirement savings scheme where both the employee and the employer contribute a portion of the employee?€?s salary each month into a personal savings account managed by the EPF Board. The main purpose of EPF is to help employees accumulate savings over their working life so they have money available when they retire, and under certain conditions you can also use part of the savings for things like housing or education before retirement. Both Malaysians and permanent residents must contribute, while foreign employees may contribute voluntarily if agreed. SOCSO (Social Security Organisation) contributions provide social security protection against work-related risks, such as injury at work, disability, illness, and in some cases support for dependants if a worker dies due to a workplace incident. SOCSO contributions are also made monthly by both the employee and employer, but instead of building a retirement savings fund, the contributions go into a social insurance pool that pays out benefits if those risks occur. All eligible workers, including foreign employees, are generally covered under SOCSO. EIS (Employment Insurance System) is a relatively newer insurance contribution that provides temporary financial assistance and job-seeking support to employees who lose their jobs involuntarily. Under EIS, both the employer and employee contribute a small percentage of the employee?€?s wages (0.2 % each of assumed monthly salary) to fund unemployment benefits and re-employment services. This system is separate from SOCSO and focuses on helping workers find new jobs and cope financially after job loss.",0.520964237,0.72806156,0.779363751,0.190909091
What are the different types of income?,"Income can be broadly categorized into three main types:

Salary: This is the most common type of income, which is earned by individuals in exchange for their work and skills. It's usually paid on a regular basis, such as monthly or bi-weekly.
Investment Income: This type of income is generated from investments such as dividends, interest, rents, and capital gains. It's typically passive income that requires little to no effort to earn.
Self-Employed Income: This type of income is earned by individuals who work for themselves or their own businesses. It can include profits from freelancing, entrepreneurship, or other business ventures.","Earned income is the money you receive in exchange for work or services you perform. This includes wages, salaries, tips, bonuses, commissions and income from self-employment or running a business where you actively participate. This type of income depends on your effort and time. 

Passive income is money you earn without actively working for it on a regular basis once the underlying asset or system is set up. Examples can include rental income from property, royalties from creative works, income from a business you don?€?t actively manage, and other recurring earnings after an initial investment of time or money. 

Portfolio income (sometimes called investment income) comes from financial investments such as stocks, bonds, mutual funds or real estate investment trusts (REITs). This includes interest, dividends and capital gains you receive from owning these assets. ",0.481482086,0.7312341,0.797729015,0.220588235
What strategies can be used to pay off credit card debt faster?,"To pay off credit card debt faster, there are two popular strategies that can be effective:

Debt Snowball Method: This approach involves clearing one debt at a time, starting with the smallest balance first. By paying off the smallest debt first, you'll experience early victories and build momentum to tackle larger debts. For example, Chong, an executive with three debts (RM1,000 personal loan, RM5,000 student loan, and RM10,000 car loan), would start by clearing the smaller personal loan.
Debt Snowflake Method: This approach involves using extra savings from daily activities to make additional debt payments. Even small amounts can significantly accelerate debt repayment and positively impact your credit record. For instance, Gunalan, a student who saves RM10 daily by bringing food from home instead of buying lunch, can use this extra amount to make an additional payment on his outstanding debts.","To begin with, it?€?s important to pay more than the minimum monthly payment whenever possible. Paying only the minimum keeps your debt for a long time and increases the amount of interest you pay overall, while larger payments reduce the balance faster and cut down interest costs. Two popular repayment methods can help you organise your debt payoff:

The debt avalanche method means making minimum payments on all cards but putting extra money toward the card with the highest interest rate first. Once that is paid off, you transfer the extra funds to the next highest-interest card. This can reduce the total interest you pay. 
The debt snowball method focuses on paying off the card with the smallest balance first while maintaining minimum payments on others. After the smallest is cleared, you move on to the next. This can provide motivation from seeing progress quickly.",0.345413636,0.71100104,0.726947844,0.173652695
What is diversification and why is it important in investing?,"Diversification is the process of spreading investments across different asset classes, sectors, or geographic regions to minimize risk and maximize returns. The idea behind diversification is that by not putting all your eggs in one basket, you can reduce the impact of any single investment performing poorly. This allows investors to ride out market fluctuations and increase the potential for long-term growth.

Diversification is important because it helps to manage risk and increase potential returns. By spreading investments across different asset classes, investors can reduce their exposure to any one particular sector or market. For example, investing in a single stock may be risky if that company experiences financial difficulties. However, by diversifying into other assets such as bonds, real estate, or international stocks, investors can reduce this risk.","Diversification in investing means spreading your money across different types of investments rather than putting it all into one place. This can include a mix of asset classes (such as stocks, bonds, cash, property or commodities), investments from different industries or companies, and even investments from different countries. The idea is that these varied investments will not all react the same way to market events ?€? while some may fall in value at certain times, others might stay steady or rise, helping balance your overall returns. Diversification is important because it helps reduce risk and manage the ups and downs of markets. When your investment portfolio is concentrated in just one type of asset, a bad outcome in that asset could significantly reduce your overall wealth. By diversifying, you avoid relying too heavily on any single investment, which lowers the chance that one poor performer will drag down your entire portfolio. A diversified approach can also smooth out returns over time, potentially making it easier to stay invested through market volatility and work toward long-term financial goals.",0.508124163,0.7509766,0.917821944,0.261363636
